AvgLatitude,AvgLongitude,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,IncidentsCar,IncidentsMPV,IncidentsLDT,IncidentsMDT,IncidentsHDT,IncidentsOther,Geohash
43.73272,-79.56331,43.73245,-79.56436,43.73383,-79.56299,Toronto,,Ontario,Canada,CA-ON,0.0048,25,0,1,0,2,21,1,dpz2v3r
43.614059999999995,-79.53349,43.61298,-79.53415,43.61435,-79.53278,Toronto,,Ontario,Canada,CA-ON,0.002,64,0,2,0,2,57,3,dpz2n5t
43.802009999999996,-79.19976,43.801120000000004,-79.20044,43.80249,-79.19906999999999,Toronto,,Ontario,Canada,CA-ON,0.0014,46,0,1,0,8,28,9,dpz9jvb
43.76194,-79.4906,43.76129,-79.49158,43.76266,-79.4902,Toronto,,Ontario,Canada,CA-ON,0.0043,72,1,3,0,8,32,28,dpz2zns
43.793659999999996,-79.23861,43.79288,-79.23889,43.79425,-79.23751999999999,Toronto,,Ontario,Canada,CA-ON,0.0021,28,2,0,1,0,23,2,dpz9huk
43.78779,-79.2685,43.78738,-79.2691,43.788759999999996,-79.26773,Toronto,,Ontario,Canada,CA-ON,0.0011,32,3,0,3,3,20,3,dpz9h5q
43.71895,-79.61855,43.718720000000005,-79.61929,43.72009,-79.61792,Toronto,,Ontario,Canada,CA-ON,0.002,81,0,3,0,1,47,30,dpz2snz
43.74174,-79.53074000000001,43.74069,-79.5314,43.74207,-79.53003000000001,Toronto,,Ontario,Canada,CA-ON,0.0052,95,1,11,0,1,69,13,dpz2y4z
43.65083,-79.34678000000001,43.65005,-79.34738,43.65143,-79.34600999999999,Toronto,,Ontario,Canada,CA-ON,0.0016,92,0,5,0,12,65,10,dpz866m
43.66483,-79.50148,43.663790000000006,-79.50256,43.66516,-79.50119000000001,Toronto,,Ontario,Canada,CA-ON,0.0011,43,0,1,6,6,28,2,dpz2quu
43.76336,-79.40281999999999,43.76266,-79.40369,43.76404,-79.40231,Toronto,,Ontario,Canada,CA-ON,0.0014,39,2,0,0,4,25,8,dpz8cnu
43.72651,-79.45767,43.725590000000004,-79.45862,43.72696,-79.45724,Toronto,,Ontario,Canada,CA-ON,0.0015,48,2,3,1,6,26,10,dpz2zbh
43.69997,-79.60595,43.699490000000004,-79.60693,43.70087,-79.60556,Toronto,,Ontario,Canada,CA-ON,0.0048,27,0,0,0,0,23,4,dpz2se2
43.77876,-79.506,43.777770000000004,-79.50668,43.779140000000005,-79.50531,Toronto,,Ontario,Canada,CA-ON,0.0029,119,0,3,2,5,85,24,dpz3nc9
43.62575,-79.48907,43.62534,-79.4902,43.626709999999996,-79.48883000000001,Toronto,,Ontario,Canada,CA-ON,0.001,73,0,3,1,0,61,8,dpz2pjv
43.696979999999996,-79.44439,43.69675,-79.44489,43.69812,-79.44351,Toronto,,Ontario,Canada,CA-ON,0.0022,35,0,1,1,1,23,9,dpz884y
43.711529999999996,-79.46644,43.71048,-79.46686,43.71185,-79.46548,Toronto,,Ontario,Canada,CA-ON,0.0005,37,0,4,2,2,25,4,dpz2xtq
43.8115,-79.20383000000001,43.81073,-79.20456,43.8121,-79.20319,Toronto,,Ontario,Canada,CA-ON,0.0045,85,0,0,0,7,48,30,dpz9jxt
43.70277,-79.45214,43.70224,-79.45313,43.70361,-79.45175,Toronto,,Ontario,Canada,CA-ON,0.0027,70,1,9,3,12,40,5,dpz885b
43.78236,-79.47008000000001,43.781890000000004,-79.47098000000001,43.78326,-79.4696,Toronto,,Ontario,Canada,CA-ON,0.0029,67,0,4,0,4,49,10,dpz3pd7
43.65637,-79.45239000000001,43.65555,-79.45313,43.65692,-79.45175,Toronto,,Ontario,Canada,CA-ON,0.0019,45,2,11,3,3,22,4,dpz8252
43.76421,-79.48818,43.76404,-79.48883000000001,43.765409999999996,-79.48746,Toronto,,Ontario,Canada,CA-ON,0.0016,39,0,0,2,0,30,7,dpz2zpn
43.72457,-79.25421999999999,43.72421,-79.25537,43.725590000000004,-79.25399999999999,Toronto,,Ontario,Canada,CA-ON,0.0018,38,0,0,10,1,24,3,dpz8sxb
43.75112,-79.63257,43.75031,-79.63303,43.75168,-79.63165,Toronto,,Ontario,Canada,CA-ON,0.0009,31,0,1,0,0,28,2,dpz2gut
43.78966,-79.45796999999999,43.788759999999996,-79.45862,43.79013,-79.45724,Toronto,,Ontario,Canada,CA-ON,0.0015,52,0,0,0,6,39,7,dpz3pgs
43.75358,-79.6129,43.75305,-79.6138,43.75443,-79.61243,Toronto,,Ontario,Canada,CA-ON,0.0022,34,0,0,0,0,28,6,dpz2um5
43.74682,-79.54123,43.746190000000006,-79.54239,43.74756,-79.54101999999999,Toronto,,Ontario,Canada,CA-ON,0.0028,36,0,2,0,2,21,11,dpz2vgz
43.75463,-79.44313000000001,43.75443,-79.44351,43.7558,-79.44214000000001,Toronto,,Ontario,Canada,CA-ON,0.0018,36,1,1,0,3,28,3,dpz8bjr
43.77754,-79.19006999999999,43.7764,-79.19083,43.777770000000004,-79.18945,Toronto,,Ontario,Canada,CA-ON,0.0025,44,0,0,3,1,32,8,dpz9jcr
43.75405,-79.44561,43.75305,-79.44626,43.75443,-79.44489,Toronto,,Ontario,Canada,CA-ON,0.0002,3,0,1,0,0,0,2,dpz8bjj
43.77709,-79.34787,43.7764,-79.34875,43.777770000000004,-79.34738,Toronto,,Ontario,Canada,CA-ON,0.0002,3,0,1,1,0,0,1,dpz943k
43.67244,-79.45218,43.67203,-79.45313,43.6734,-79.45175,Toronto,,Ontario,Canada,CA-ON,0.0011,4,0,0,0,3,0,1,dpz82n2
43.65634,-79.37787,43.65555,-79.37897,43.65692,-79.37759,Toronto,,Ontario,Canada,CA-ON,0.0001,3,2,0,1,0,0,0,dpz83eq
43.62753,-79.55917,43.626709999999996,-79.56024000000001,43.62808,-79.55887,Toronto,,Ontario,Canada,CA-ON,0.0002,3,1,1,0,0,0,1,dpz2jw4
43.811809999999994,-79.35801,43.81073,-79.35837,43.8121,-79.35699,Toronto,,Ontario,Canada,CA-ON,0.0006,4,2,1,0,1,0,0,dpz94pt
